NAME,AGE
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.00
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.00
"Bonnell, Miss. Elizabeth",58.00
"Sloper, Mr. William Thompson",28.00
"Spencer, Mrs. William Augustus (Marie Eugenie)",
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.00
"Woolner, Mr. Hugh",
"Icard, Miss. Amelie",38.00
"Fortune, Miss. Mabel Helen",23.00
"Greenfield, Mr. William Bertram",23.00
"Newsom, Miss. Helen Monypeny",19.00
"Pears, Mrs. Thomas (Edith Wearne)",22.00
"Chibnall, Mrs. (Edith Martha Bowerman)",
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45.00
"Brown, Mrs. James Joseph (Margaret Tobin)",44.00
"Lurette, Miss. Elise",58.00
"Blank, Mr. Henry",40.00
"Newell, Miss. Madeleine",31.00
"Bazzani, Miss. Albina",32.00
"Hoyt, Mr. Frederick Maxfield",38.00
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35.00
"Beckwith, Mr. Richard Leonard",37.00
"Thorne, Mrs. Gertrude Maybelle",
"Cherry, Miss. Gladys",30.00
"Ward, Miss. Anna",35.00
"Graham, Mrs. William Thompson (Edith Junkins)",58.00
"Bissette, Miss. Amelia",35.00
"Andrews, Miss. Kornelia Theodosia",63.00
"Barber, Miss. Ellen ""Nellie""",26.00
"Bishop, Mrs. Dickinson H (Helen Walton)",19.00
"Saalfeld, Mr. Adolphe",
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50.00
"Allison, Master. Hudson Trevor",0.92
"Fleming, Miss. Margaret",
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",17.00
"Francatelli, Miss. Laura Mabel",30.00
"Hays, Miss. Margaret Bechstein",24.00
"Ryerson, Miss. Emily Borie",18.00
"Wick, Miss. Mary Natalie",31.00
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",40.00
"Young, Miss. Marie Grice",36.00
"Hippach, Miss. Jean Gertrude",16.00
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",
"Burns, Miss. Elizabeth Margaret",41.00
"Fortune, Miss. Alice Elizabeth",24.00
"Bowerman, Miss. Elsie Edith",22.00
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",60.00
"Aubart, Mme. Leontine Pauline",24.00
"Harder, Mr. George Achilles",25.00
"Meyer, Mrs. Edgar Joseph (Leila Saks)",
"Bidois, Miss. Rosalie",42.00
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35.00
"Carter, Mr. William Ernest",36.00
"Newell, Miss. Marjorie",23.00
"Minahan, Miss. Daisy E",33.00
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28.00
"Carter, Miss. Lucile Polk",14.00
"Dodge, Master. Washington",4.00
"Seward, Mr. Frederic Kimber",34.00
"Peuchen, Major. Arthur Godfrey",52.00
"Goldenberg, Mr. Samuel L",49.00
"Kenyon, Mrs. Frederick R (Marion)",
"Anderson, Mr. Harry",48.00
"Bishop, Mr. Dickinson H",25.00
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",35.00
"Eustis, Miss. Elizabeth Mussey",54.00
"Maioni, Miss. Roberta",16.00
"Bradley, Mr. George (""George Arthur Brayton"")",
"McGough, Mr. James Robert",36.00
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",54.00
"Perreault, Miss. Anne",30.00
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",44.00
"LeRoy, Miss. Bertha",30.00
"Frolicher, Miss. Hedwig Margaritha",22.00
"Crosby, Miss. Harriet R",36.00
"Thayer, Mr. John Borland Jr",17.00
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",48.00
"Taussig, Mrs. Emil (Tillie Mandelbaum)",39.00
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53.00
"Flynn, Mr. John Irwin (""Irving"")",36.00
"Silvey, Mrs. William Baird (Alice Munger)",39.00
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",39.00
"Taussig, Miss. Ruth",18.00
"Frolicher-Stehli, Mr. Maxmillian",60.00
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",52.00
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",49.00
"Homer, Mr. Harry (""Mr E Haven"")",35.00
"Daniel, Mr. Robert Williams",27.00
"Shutes, Miss. Elizabeth W",40.00
"Kimball, Mr. Edwin Nelson Jr",42.00
"Longley, Miss. Gretchen Fiske",21.00
"Barkworth, Mr. Algernon Henry Wilson",80.00
"Stahelin-Maeglin, Dr. Max",32.00
"Sagesser, Mlle. Emma",24.00
"Harper, Mr. Henry Sleeper",48.00
"Simonius-Blumer, Col. Oberst Alfons",56.00
"Frauenthal, Dr. Henry William",50.00
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",
"Cardeza, Mr. Thomas Drake Martinez",36.00
"Hassab, Mr. Hammad",27.00
"Madill, Miss. Georgette Alexandra",15.00
"Dick, Mr. Albert Adrian",31.00
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18.00
"Silverthorne, Mr. Spencer Victor",35.00
"Calderhead, Mr. Edward Pennington",42.00
"Cleaver, Miss. Alice",22.00
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",24.00
"Taylor, Mr. Elmer Zebley",48.00
"Endres, Miss. Caroline Louise",38.00
"Chambers, Mr. Norman Campbell",27.00
"Allen, Miss. Elisabeth Walton",29.00
"Lesurer, Mr. Gustave J",35.00
"Hawksford, Mr. Walter James",
"Ryerson, Miss. Susan Parker ""Suzette""",21.00
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",33.00
"Carter, Mrs. William Ernest (Lucile Polk)",36.00
"Hogeboom, Mrs. John C (Anna Andrews)",51.00
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",43.00
"Dick, Mrs. Albert Adrian (Vera Gillespie)",17.00
"Leader, Dr. Alice (Farnham)",49.00
"Carter, Master. William Thornton II",11.00
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",33.00
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",52.00
"Stone, Mrs. George Nelson (Martha Evelyn)",62.00
"Compton, Miss. Sara Rebecca",39.00
"Marechal, Mr. Pierre",
"Serepeca, Miss. Augusta",30.00
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",
"Lines, Miss. Mary Conover",16.00
"Wick, Mrs. George Dennick (Mary Hitchcock)",45.00
"Daly, Mr. Peter Denis ",51.00
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",48.00
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",47.00
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",56.00
"Graham, Miss. Margaret Edith",19.00
"Behr, Mr. Karl Howell",26.00
