NAME
"Braund, Mr. Owen Harris"
"Allen, Mr. William Henry"
"Moran, Mr. James"
"Palsson, Master. Gosta Leonard"
"Saundercock, Mr. William Henry"
"Andersson, Mr. Anders Johan"
"Vestrom, Miss. Hulda Amanda Adolfina"
"Rice, Master. Eugene"
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)"
"Palsson, Miss. Torborg Danira"
"Emir, Mr. Farred Chehab"
"Todoroff, Mr. Lalio"
"Cann, Mr. Ernest Charles"
"Vander Planke, Miss. Augusta Maria"
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)"
"Kraeff, Mr. Theodor"
"Rogers, Mr. William John"
"Lennon, Mr. Denis"
"Samaan, Mr. Youssef"
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)"
"Panula, Master. Juha Niilo"
"Nosworthy, Mr. Richard Cater"
"Novel, Mr. Mansouer"
"Goodwin, Master. William Frederick"
"Sirayanian, Mr. Orsen"
"Skoog, Master. Harald"
"Crease, Mr. Ernest James"
"Kink, Mr. Vincenz"
"Goodwin, Miss. Lillian Amy"
"Chronopoulos, Mr. Apostolos"
"Moen, Mr. Sigurd Hansen"
"Staneff, Mr. Ivan"
"Moutal, Mr. Rahamin Haim"
"Waelens, Mr. Achille"
"Ford, Mr. William Neal"
"Slocovski, Mr. Selman Francis"
"Celotti, Mr. Francesco"
"Christmann, Mr. Emil"
"Andreasson, Mr. Paul Edvin"
"Dean, Mr. Bertram Frank"
"Coxon, Mr. Daniel"
"Shorney, Mr. Charles Joseph"
"Petranec, Miss. Matilda"
"Petroff, Mr. Pastcho (""Pentcho"")"
"Johansson, Mr. Gustaf Joel"
"Gustafsson, Mr. Anders Vilhelm"
"Mionoff, Mr. Stoytcho"
"Rekic, Mr. Tido"
"Zabour, Miss. Hileni"
"Barton, Mr. David John"
"Jussila, Miss. Katriina"
"Attalah, Miss. Malake"
"Pekoniemi, Mr. Edvard"
"Connors, Mr. Patrick"
"Andersson, Miss. Ellis Anna Maria"
"Moore, Mr. Leonard Charles"
"McMahon, Mr. Martin"
"Ekstrom, Mr. Johan"
"Drazenoic, Mr. Jozef"
"Coelho, Mr. Domingos Fernandeo"
"Robins, Mrs. Alexander A (Grace Charity Laury)"
"Osen, Mr. Olaf Elon"
"Boulos, Mrs. Joseph (Sultana)"
"Burke, Mr. Jeremiah"
"Ford, Miss. Robina Maggie ""Ruby"""
"Meo, Mr. Alfonzo"
"van Billiard, Mr. Austin Blyler"
"Olsen, Mr. Ole Martin"
"Corn, Mr. Harry"
"Smiljanic, Mr. Mile"
"Sage, Master. Thomas Henry"
"Cribb, Mr. John Hatfield"
"Bengtsson, Mr. John Viktor"
"Calic, Mr. Jovo"
"Panula, Master. Eino Viljami"
"Skoog, Mrs. William (Anna Bernhardina Karlsson)"
"Ling, Mr. Lee"
"Rice, Master. Arthur"
"Sivola, Mr. Antti Wilhelm"
"Klasen, Mr. Klas Albin"
"Lefebre, Master. Henry Forbes"
"Leonard, Mr. Lionel"
"Sage, Miss. Constance Gladys"
"Asplund, Master. Clarence Gustaf Hugo"
"Bourke, Mr. John"
"Turcin, Mr. Stjepan"
"Mernagh, Mr. Robert"
"Olsen, Mr. Karl Siegwart Andreas"
"Vande Walle, Mr. Nestor Cyriel"
"Sage, Mr. Frederick"
"Johanson, Mr. Jakob Alfred"
"Youseff, Mr. Gerious"
"Strom, Miss. Telma Matilda"
"Backstrom, Mr. Karl Alfred"
"Ali, Mr. Ahmed"
"Perkin, Mr. John Henry"
"Kiernan, Mr. Philip"
"Green, Mr. George Henry"
"Nenkoff, Mr. Christo"
"Berglund, Mr. Karl Ivar Sven"
"Lovell, Mr. John Hall (""Henry"")"
"Lefebre, Miss. Mathilde"
"Larsson, Mr. Bengt Edvin"
"Harknett, Miss. Alice Phoebe"
"Zabour, Miss. Thamine"
"Maenpaa, Mr. Matti Alexanteri"
"Attalah, Mr. Sleiman"
"Lindahl, Miss. Agda Thorilda Viktoria"
"Reed, Mr. James George"
"Strom, Mrs. Wilhelm (Elna Matilda Persson)"
"Lobb, Mr. William Arthur"
"Rosblom, Mrs. Viktor (Helena Wilhelmina)"
"Smith, Mr. Thomas"
"Henry, Miss. Delia"
"Panula, Mr. Ernesti Arvid"
"Lindblom, Miss. Augusta Charlotta"
"Rice, Master. Eric"
"Duane, Mr. Frank"
"Olsson, Mr. Nils Johan Goransson"
"de Pelsmaeker, Mr. Alfons"
"Stankovic, Mr. Ivan"
