NAME,AGE
"Heikkinen, Miss. Laina",26.00
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.00
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.00
"Sandstrom, Miss. Marguerite Rut",4.00
"Bonnell, Miss. Elizabeth",58.00
"Hewlett, Mrs. (Mary D Kingcome) ",55.00
"Williams, Mr. Charles Eugene",
"Beesley, Mr. Lawrence",34.00
"Sloper, Mr. William Thompson",28.00
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.00
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.00
"Woolner, Mr. Hugh",
"Rugg, Miss. Emily",21.00
"West, Miss. Constance Mirium",5.00
"Nye, Mrs. (Elizabeth Ramell)",29.00
"Andersson, Miss. Erna Alexandra",17.00
"Bing, Mr. Lee",32.00
"Caldwell, Master. Alden Gates",0.83
"Dowdell, Miss. Elizabeth",30.00
"Sheerlinck, Mr. Jan Baptist",29.00
"Ilett, Miss. Bertha",17.00
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.00
"Fortune, Miss. Mabel Helen",23.00
"Doling, Mrs. John T (Ada Julia Bone)",34.00
"Salkjelsvik, Miss. Anna Kristine",21.00
"Moss, Mr. Albert Johan",
"Webber, Miss. Susan",32.50
"Madsen, Mr. Fridtjof Arne",24.00
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.00
"Newsom, Miss. Helen Monypeny",19.00
"Nysten, Miss. Anna Sofia",22.00
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.00
"Andersson, Mr. August Edvard (""Wennerstrom"")",27.00
"Pears, Mrs. Thomas (Edith Wearne)",22.00
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40.00
"Goldsmith, Master. Frank John William ""Frankie""",9.00
"Chibnall, Mrs. (Edith Martha Bowerman)",
"Johnson, Miss. Eleanor Ileen",1.00
"Becker, Master. Richard F",1.00
"Kink-Heilmann, Miss. Luise Gretchen",4.00
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45.00
"Pinsky, Mrs. (Rosa)",32.00
"Andersen-Jensen, Miss. Carla Christine Nielsine",19.00
"Navratil, Master. Michel M",3.00
"Cohen, Mr. Gurshon ""Gus""",18.00
"Cameron, Miss. Clear Annie",35.00
"Honkanen, Miss. Eliina",27.00
"Sunderland, Mr. Victor Francis",16.00
"Hoyt, Mr. Frederick Maxfield",38.00
"Mellors, Mr. William John",19.00
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35.00
"Asplund, Miss. Lillian Gertrud",5.00
"Collyer, Miss. Marjorie ""Lottie""",8.00
"Hamalainen, Mrs. William (Anna)",24.00
"Beckwith, Mr. Richard Leonard",37.00
"Cherry, Miss. Gladys",30.00
"Parrish, Mrs. (Lutie Davis)",50.00
"Asplund, Master. Edvin Rojj Felix",3.00
"Persson, Mr. Ernst Ulrik",25.00
"Graham, Mrs. William Thompson (Edith Junkins)",58.00
"Bissette, Miss. Amelia",35.00
"Tornquist, Mr. William Henry",25.00
"Mellinger, Mrs. (Elizabeth Anne Maidment)",41.00
"Andrews, Miss. Kornelia Theodosia",63.00
"Abbott, Mrs. Stanton (Rosa Hunt)",35.00
"Dorking, Mr. Edward Arthur",19.00
"de Mulder, Mr. Theodore",30.00
"Hosono, Mr. Masabumi",42.00
"Barber, Miss. Ellen ""Nellie""",26.00
"Saalfeld, Mr. Adolphe",
"Allison, Master. Hudson Trevor",0.92
"Nilsson, Miss. Helmina Josefina",26.00
"Kantor, Mrs. Sinai (Miriam Sternin)",24.00
"Wick, Miss. Mary Natalie",31.00
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22.00
"Ball, Mrs. (Ada E Hall)",36.00
"Goldsmith, Mrs. Frank John (Emily Alice Brown)",31.00
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",
"Dahl, Mr. Karl Edwart",45.00
"Navratil, Master. Edmond Roger",2.00
"Fortune, Miss. Alice Elizabeth",24.00
"Brown, Miss. Amelia ""Mildred""",24.00
"Smith, Miss. Marion Elsie",40.00
"Davison, Mrs. Thomas Henry (Mary E Finck)",
"Coutts, Master. William Loch ""William""",3.00
"Bowerman, Miss. Elsie Edith",22.00
"Landergren, Miss. Aurora Adelia",22.00
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35.00
"Buss, Miss. Kate",36.00
"Carter, Mr. William Ernest",36.00
"Jansson, Mr. Carl Olof",21.00
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",24.00
"Trout, Mrs. William H (Jessie L)",28.00
"Niskanen, Mr. Juha",39.00
"Richards, Master. William Rowe",3.00
"Sundman, Mr. Johan Julian",44.00
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",34.00
"Silven, Miss. Lyyli Karoliina",18.00
"Clarke, Mrs. Charles V (Ada Maria Winfield)",28.00
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",19.00
"Pickard, Mr. Berk (Berk Trembisky)",32.00
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28.00
"Thorneycroft, Mrs. Percival (Florence Kate White)",
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",42.00
"Carter, Miss. Lucile Polk",14.00
"Richards, Mrs. Sidney (Emily Hocking)",24.00
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",45.00
"Reynaldo, Ms. Encarnacion",28.00
"Johannesen-Bratthammer, Mr. Bernt",
"Dodge, Master. Washington",4.00
"Mellinger, Miss. Madeleine Violet",13.00
"Seward, Mr. Frederic Kimber",34.00
"Peuchen, Major. Arthur Godfrey",52.00
"Kenyon, Mrs. Frederick R (Marion)",
"Toomey, Miss. Ellen",50.00
"Anderson, Mr. Harry",48.00
"West, Mrs. Edwy Arthur (Ada Mary Worth)",33.00
