NAME,AGE
"Fortune, Mr. Charles Alexander",19.00
"Fortune, Miss. Mabel Helen",23.00
"Baxter, Mr. Quigg Edmond",24.00
"Lurette, Miss. Elise",58.00
"Newell, Miss. Madeleine",31.00
"Ward, Miss. Anna",35.00
"Graham, Mrs. William Thompson (Edith Junkins)",58.00
"Bissette, Miss. Amelia",35.00
"Allison, Miss. Helen Loraine",2.00
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50.00
"Allison, Master. Hudson Trevor",0.92
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",17.00
"Ryerson, Miss. Emily Borie",18.00
"Wick, Miss. Mary Natalie",31.00
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",40.00
"Young, Miss. Marie Grice",36.00
"Graham, Mr. George Edward",38.00
"Burns, Miss. Elizabeth Margaret",41.00
"Fortune, Miss. Alice Elizabeth",24.00
"Ringhini, Mr. Sante",22.00
"Widener, Mr. Harry Elkins",27.00
"Bidois, Miss. Rosalie",42.00
"Carter, Mr. William Ernest",36.00
"Newell, Miss. Marjorie",23.00
"Carter, Miss. Lucile Polk",14.00
"Fortune, Mr. Mark",64.00
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",25.00
"Penasco y Castellana, Mr. Victor de Satode",18.00
"LeRoy, Miss. Bertha",30.00
"Douglas, Mr. Walter Donald",50.00
"Thayer, Mr. John Borland Jr",17.00
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",39.00
"Shutes, Miss. Elizabeth W",40.00
"Newell, Mr. Arthur Webster",58.00
"Frauenthal, Dr. Henry William",50.00
"Cardeza, Mr. Thomas Drake Martinez",36.00
"Madill, Miss. Georgette Alexandra",15.00
"Thayer, Mr. John Borland",49.00
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18.00
"Cleaver, Miss. Alice",22.00
"Endres, Miss. Caroline Louise",38.00
"Allen, Miss. Elisabeth Walton",29.00
"Lesurer, Mr. Gustave J",35.00
"Ryerson, Miss. Susan Parker ""Suzette""",21.00
"Carter, Mrs. William Ernest (Lucile Polk)",36.00
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",43.00
"Carter, Master. William Thornton II",11.00
"Wick, Mrs. George Dennick (Mary Hitchcock)",45.00
