NAME
"Hewlett, Mrs. (Mary D Kingcome) "
"Williams, Mr. Charles Eugene"
"Beesley, Mr. Lawrence"
"Wheadon, Mr. Edward H"
"Rugg, Miss. Emily"
"Nye, Mrs. (Elizabeth Ramell)"
"Jenkin, Mr. Stephen Curnow"
"Ilett, Miss. Bertha"
"Webber, Miss. Susan"
"Sobey, Mr. Samuel James Hayden"
"Richard, Mr. Emile"
"Andrew, Mr. Edgardo Samuel"
"Byles, Rev. Thomas Roussel Davids"
"Bateman, Rev. Robert James"
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"
"Hale, Mr. Reginald"
"Pernot, Mr. Rene"
"Pinsky, Mrs. (Rosa)"
"Carbines, Mr. William"
"Yrois, Miss. Henriette (""Mrs Harbeck"")"
"Givard, Mr. Hans Kristensen"
"Harris, Mr. Walter"
"Bracken, Mr. James H"
"Mellors, Mr. William John"
"Fahlstrom, Mr. Arne Jonas"
"Sjostedt, Mr. Ernst Adolf"
"Leyson, Mr. Robert William Norman"
"Pengelly, Mr. Frederick William"
"Hunt, Mr. George Henry"
"Coleridge, Mr. Reginald Charles"
"Hamalainen, Mrs. William (Anna)"
"Reeves, Mr. David"
"Mellinger, Mrs. (Elizabeth Anne Maidment)"
"Parkes, Mr. Francis ""Frank"""
"Hosono, Mr. Masabumi"
"Levy, Mr. Rene Jacques"
"Keane, Miss. Nora A"
"Moraweck, Dr. Ernest"
"Slayter, Miss. Hilda Mary"
"Ball, Mrs. (Ada E Hall)"
"Collander, Mr. Erik Gustaf"
"Sedgwick, Mr. Charles Frederick Waddington"
"Fox, Mr. Stanley Hubert"
"Brown, Miss. Amelia ""Mildred"""
"Smith, Miss. Marion Elsie"
"Funk, Miss. Annie Clemmer"
"Buss, Miss. Kate"
"Lehmann, Miss. Bertha"
"Pain, Dr. Alfred"
"Trout, Mrs. William H (Jessie L)"
"Richards, Master. William Rowe"
"Cunningham, Mr. Alfred Fleming"
"Silven, Miss. Lyyli Karoliina"
"Matthews, Mr. William John"
"Richards, Mrs. Sidney (Emily Hocking)"
"Kvillner, Mr. Johan Henrik Johannesson"
"Reynaldo, Ms. Encarnacion"
"Mellinger, Miss. Madeleine Violet"
"Toomey, Miss. Ellen"
"Milling, Mr. Jacob Christian"
"Campbell, Mr. William"
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)"
"Frost, Mr. Anthony Wood ""Archie"""
"Lemore, Mrs. (Amelia Milley)"
"Ridsdale, Miss. Lucy"
"Hocking, Mr. Richard George"
"Padro y Manent, Mr. Julian"
"Norman, Mr. Robert Douglas"
"Harris, Mr. George"
"Garside, Miss. Ethel"
"Jarvis, Mr. John Denzil"
"Gavey, Mr. Lawrence"
"Kirkland, Rev. Charles Leonard"
"Davis, Miss. Mary"
"Eitemiller, Mr. George Floyd"
"Butler, Mr. Reginald Fenton"
"Mitchell, Mr. Henry Michael"
"Wilhelms, Mr. Charles"
"Watson, Mr. Ennis Hastings"
"Chapman, Mr. Charles Henry"
"Kelly, Mrs. Florence ""Fannie"""
"Greenberg, Mr. Samuel"
"Troutt, Miss. Edwina Celia ""Winnie"""
"Gillespie, Mr. William Henry"
"Hodges, Mr. Henry Price"
"Knight, Mr. Robert J"
"Berriman, Mr. William John"
"Troupiansky, Mr. Moses Aaron"
"Sinkkonen, Miss. Anna"
"Hamalainen, Master. Viljo"
"Bailey, Mr. Percy Andrew"
"Mack, Mrs. (Mary)"
"Otter, Mr. Richard"
"Ponesell, Mr. Martin"
"Meyer, Mr. August"
"Slemen, Mr. Richard James"
"Richards, Master. George Sibley"
"Mudd, Mr. Thomas Charles"
"Giles, Mr. Frederick Edward"
"Gill, Mr. John William"
"Bystrom, Mrs. (Karolina)"
"Duran y More, Miss. Asuncion"
"Banfield, Mr. Frederick James"
"Montvila, Rev. Juozas"
