NAME,AGE
"McCarthy, Mr. Timothy J",54.00
"Fortune, Mr. Charles Alexander",19.00
"Uruchurtu, Don. Manuel E",40.00
"Meyer, Mr. Edgar Joseph",28.00
"Holverson, Mr. Alexander Oskar",42.00
"Ostby, Mr. Engelhart Cornelius",65.00
"Harris, Mr. Henry Birkhardt",45.00
"Stewart, Mr. Albert A",
"Carrau, Mr. Francisco M",28.00
"Chaffee, Mr. Herbert Fuller",46.00
"Goldschmidt, Mr. George B",71.00
"White, Mr. Richard Frasar",21.00
"Porter, Mr. Walter Chamberlain",47.00
"Baxter, Mr. Quigg Edmond",24.00
"White, Mr. Percival Wayland",54.00
"Futrelle, Mr. Jacques Heath",37.00
"Giglio, Mr. Victor",24.00
"Williams, Mr. Charles Duane",51.00
"Baumann, Mr. John D",
"Van der hoef, Mr. Wyckoff",61.00
"Smith, Mr. James Clinch",56.00
"Isham, Miss. Ann Elizabeth",50.00
"Rood, Mr. Hugh Roscoe",
"Minahan, Dr. William Edward",44.00
"Stead, Mr. William Thomas",62.00
"Taussig, Mr. Emil",52.00
"Harrison, Mr. William",40.00
"Cairns, Mr. Alexander",
"Natsch, Mr. Charles H",37.00
"Smith, Mr. Richard William",
"Lewy, Mr. Ervin G",
"Allison, Miss. Helen Loraine",2.00
"Partner, Mr. Austen",45.50
"Graham, Mr. George Edward",38.00
"Pears, Mr. Thomas Clinton",29.00
"Blackwell, Mr. Stephen Weart",45.00
"Williams-Lambert, Mr. Fletcher Fellows",
"Ringhini, Mr. Sante",22.00
"Widener, Mr. Harry Elkins",27.00
"Silvey, Mr. William Baird",50.00
"Fortune, Mr. Mark",64.00
"Foreman, Mr. Benjamin Laventall",30.00
"Millet, Mr. Francis Davis",65.00
"Gee, Mr. Arthur H",47.00
"Smart, Mr. John Montgomery",56.00
"Clifford, Mr. George Quincy",
"Kent, Mr. Edward Austin",58.00
"Molson, Mr. Harry Markland",55.00
"Artagaveytia, Mr. Ramon",71.00
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",25.00
"Penasco y Castellana, Mr. Victor de Satode",18.00
"Walker, Mr. William Anderson",47.00
"Farthing, Mr. John",
"Butt, Major. Archibald Willingham",45.00
"Douglas, Mr. Walter Donald",50.00
"Nicholson, Mr. Arthur Ernest",64.00
"Wright, Mr. George",62.00
"Robbins, Mr. Victor",
"Ross, Mr. John Hugo",36.00
"Harrington, Mr. Charles H",
"Sutton, Mr. Frederick",61.00
"Parr, Mr. William Henry Marsh",
"Newell, Mr. Arthur Webster",58.00
"Colley, Mr. Edward Pomeroy",47.00
"Davidson, Mr. Thornton",31.00
"Weir, Col. John",60.00
"Thayer, Mr. John Borland",49.00
"Klaber, Mr. Herman",
"Cavendish, Mr. Tyrell William",36.00
"Crosby, Capt. Edward Gifford",70.00
"Marvin, Mr. Daniel Warner",19.00
"Brewe, Dr. Arthur Jackson",
"Long, Mr. Milton Clyde",29.00
"Guggenheim, Mr. Benjamin",46.00
"Hoyt, Mr. William Fisher",
"Andrews, Mr. Thomas Jr",39.00
"Fry, Mr. Richard",
"Reuchlin, Jonkheer. John George",38.00
"Roebling, Mr. Washington Augustus II",31.00
"Carlsson, Mr. Frans Olof",33.00
