NAME
"Sandstrom, Miss. Marguerite Rut"
"McGowan, Miss. Anna ""Annie"""
"Nicola-Yarred, Miss. Jamila"
"Devaney, Miss. Margaret Delia"
"Andersson, Miss. Erna Alexandra"
"Nicola-Yarred, Master. Elias"
"Gilnagh, Miss. Katherine ""Katie"""
"Goldsmith, Master. Frank John William ""Frankie"""
"Johnson, Miss. Eleanor Ileen"
"Kink-Heilmann, Miss. Luise Gretchen"
"Andersen-Jensen, Miss. Carla Christine Nielsine"
"Cohen, Mr. Gurshon ""Gus"""
"Carr, Miss. Helen ""Ellen"""
"Sunderland, Mr. Victor Francis"
"Asplund, Miss. Lillian Gertrud"
"Asplund, Master. Edvin Rojj Felix"
"Dorking, Mr. Edward Arthur"
"Coutts, Master. William Loch ""William"""
"Nakid, Miss. Maria (""Mary"")"
"Baclini, Miss. Marie Catherine"
"Baclini, Miss. Helene Barbara"
"Hirvonen, Miss. Hildur E"
"Coutts, Master. Eden Leslie ""Neville"""
"Baclini, Miss. Eugenie"
"Turja, Miss. Anna Sofia"
"Karun, Miss. Manca"
"Moor, Master. Meier"
"Emanuel, Miss. Virginia Ethel"
"Ayoub, Miss. Banoura"
"Sjoblom, Miss. Anna Sofia"
"Dean, Master. Bertram Vere"
"Thomas, Master. Assad Alexander"
"Yasbeck, Mrs. Antoni (Selini Alexander)"
"Aks, Mrs. Sam (Leah Rosen)"
"Johnson, Master. Harold Theodor"
"Najib, Miss. Adele Kiamie ""Jane"""
