NAME,AGE
"Fortune, Miss. Mabel Helen",23.00
"Ward, Miss. Anna",35.00
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50.00
"Ryerson, Miss. Emily Borie",18.00
"Fortune, Miss. Alice Elizabeth",24.00
"Bidois, Miss. Rosalie",42.00
"Cardeza, Mr. Thomas Drake Martinez",36.00
"Madill, Miss. Georgette Alexandra",15.00
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18.00
"Endres, Miss. Caroline Louise",38.00
"Allen, Miss. Elisabeth Walton",29.00
"Lesurer, Mr. Gustave J",35.00
"Ryerson, Miss. Susan Parker ""Suzette""",21.00
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",43.00
