NAME
"McCarthy, Mr. Timothy J"
"Bonnell, Miss. Elizabeth"
"Ostby, Mr. Engelhart Cornelius"
"Goldschmidt, Mr. George B"
"White, Mr. Percival Wayland"
"Williams, Mr. Charles Duane"
"Van der hoef, Mr. Wyckoff"
"Smith, Mr. James Clinch"
"Lurette, Miss. Elise"
"Stead, Mr. William Thomas"
"Taussig, Mr. Emil"
"Graham, Mrs. William Thompson (Edith Junkins)"
"Andrews, Miss. Kornelia Theodosia"
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)"
"Fortune, Mr. Mark"
"Peuchen, Major. Arthur Godfrey"
"Millet, Mr. Francis Davis"
"Smart, Mr. John Montgomery"
"Kent, Mr. Edward Austin"
"Molson, Mr. Harry Markland"
"Artagaveytia, Mr. Ramon"
"Eustis, Miss. Elizabeth Mussey"
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)"
"Nicholson, Mr. Arthur Ernest"
"Wright, Mr. George"
"Appleton, Mrs. Edward Dale (Charlotte Lamson)"
"Frolicher-Stehli, Mr. Maxmillian"
"Stephenson, Mrs. Walter Bertram (Martha Eustis)"
"Sutton, Mr. Frederick"
"Barkworth, Mr. Algernon Henry Wilson"
"Simonius-Blumer, Col. Oberst Alfons"
"Newell, Mr. Arthur Webster"
"Weir, Col. John"
"Crosby, Capt. Edward Gifford"
"Hogeboom, Mrs. John C (Anna Andrews)"
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)"
"Stone, Mrs. George Nelson (Martha Evelyn)"
"Daly, Mr. Peter Denis "
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)"
