NAME
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
"Heikkinen, Miss. Laina"
"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"
"Nasser, Mrs. Nicholas (Adele Achem)"
"Sandstrom, Miss. Marguerite Rut"
"Bonnell, Miss. Elizabeth"
"Hewlett, Mrs. (Mary D Kingcome) "
"Williams, Mr. Charles Eugene"
"Masselmani, Mrs. Fatima"
"Beesley, Mr. Lawrence"
"McGowan, Miss. Anna ""Annie"""
"Sloper, Mr. William Thompson"
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)"
"O'Dwyer, Miss. Ellen ""Nellie"""
"Spencer, Mrs. William Augustus (Marie Eugenie)"
"Glynn, Miss. Mary Agatha"
"Mamee, Mr. Hanna"
"Nicola-Yarred, Miss. Jamila"
"Laroche, Miss. Simonne Marie Anne Andree"
"Devaney, Miss. Margaret Delia"
"O'Driscoll, Miss. Bridget"
"Harper, Mrs. Henry Sleeper (Myna Haxtun)"
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)"
"Woolner, Mr. Hugh"
"Rugg, Miss. Emily"
"West, Miss. Constance Mirium"
"Icard, Miss. Amelie"
"Moubarek, Master. Gerios"
"Nye, Mrs. (Elizabeth Ramell)"
"Andersson, Miss. Erna Alexandra"
"Bing, Mr. Lee"
"Caldwell, Master. Alden Gates"
"Dowdell, Miss. Elizabeth"
"Sheerlinck, Mr. Jan Baptist"
"McDermott, Miss. Brigdet Delia"
"Ilett, Miss. Bertha"
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)"
"Fortune, Miss. Mabel Helen"
"Greenfield, Mr. William Bertram"
"Doling, Mrs. John T (Ada Julia Bone)"
"Salkjelsvik, Miss. Anna Kristine"
"Moss, Mr. Albert Johan"
"Moran, Miss. Bertha"
"Webber, Miss. Susan"
"Nicola-Yarred, Master. Elias"
"Madsen, Mr. Fridtjof Arne"
"Peter, Miss. Anna"
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)"
"Newsom, Miss. Helen Monypeny"
"Nysten, Miss. Anna Sofia"
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)"
"Andersson, Mr. August Edvard (""Wennerstrom"")"
"Pears, Mrs. Thomas (Edith Wearne)"
"Gilnagh, Miss. Katherine ""Katie"""
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"
"Goldsmith, Master. Frank John William ""Frankie"""
"Chibnall, Mrs. (Edith Martha Bowerman)"
"Johnson, Miss. Eleanor Ileen"
"Becker, Master. Richard F"
"Kink-Heilmann, Miss. Luise Gretchen"
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)"
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")"
"Pinsky, Mrs. (Rosa)"
"Andersen-Jensen, Miss. Carla Christine Nielsine"
"Navratil, Master. Michel M"
"Brown, Mrs. James Joseph (Margaret Tobin)"
"Lurette, Miss. Elise"
"Madigan, Miss. Margaret ""Maggie"""
"Cohen, Mr. Gurshon ""Gus"""
"Albimona, Mr. Nassef Cassem"
"Carr, Miss. Helen ""Ellen"""
"Blank, Mr. Henry"
"Cameron, Miss. Clear Annie"
"Newell, Miss. Madeleine"
"Honkanen, Miss. Eliina"
"Bazzani, Miss. Albina"
"Sunderland, Mr. Victor Francis"
"Hoyt, Mr. Frederick Maxfield"
"Mellors, Mr. William John"
"Harris, Mrs. Henry Birkhardt (Irene Wallach)"
"Asplund, Miss. Lillian Gertrud"
"Collyer, Miss. Marjorie ""Lottie"""
"Murphy, Miss. Katherine ""Kate"""
"Hamalainen, Mrs. William (Anna)"
"Beckwith, Mr. Richard Leonard"
"Touma, Mrs. Darwis (Hanne Youssef Razi)"
"Thorne, Mrs. Gertrude Maybelle"
"Cherry, Miss. Gladys"
"Ward, Miss. Anna"
"Parrish, Mrs. (Lutie Davis)"
"Asplund, Master. Edvin Rojj Felix"
"Persson, Mr. Ernst Ulrik"
"Graham, Mrs. William Thompson (Edith Junkins)"
"Bissette, Miss. Amelia"
"Tornquist, Mr. William Henry"
"Mellinger, Mrs. (Elizabeth Anne Maidment)"
"Healy, Miss. Hanora ""Nora"""
"Andrews, Miss. Kornelia Theodosia"
"Abbott, Mrs. Stanton (Rosa Hunt)"
"Dorking, Mr. Edward Arthur"
"de Mulder, Mr. Theodore"
"Hosono, Mr. Masabumi"
"Connolly, Miss. Kate"
"Barber, Miss. Ellen ""Nellie"""
"Bishop, Mrs. Dickinson H (Helen Walton)"
"Saalfeld, Mr. Adolphe"
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)"
"Kelly, Miss. Anna Katherine ""Annie Kate"""
"McCoy, Mr. Bernard"
"Keane, Miss. Nora A"
"Allison, Master. Hudson Trevor"
"Fleming, Miss. Margaret"
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)"
"Francatelli, Miss. Laura Mabel"
"Hays, Miss. Margaret Bechstein"
"Ryerson, Miss. Emily Borie"
"Nilsson, Miss. Helmina Josefina"
"Kantor, Mrs. Sinai (Miriam Sternin)"
"Wick, Miss. Mary Natalie"
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)"
"Slayter, Miss. Hilda Mary"
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)"
"Young, Miss. Marie Grice"
"Ball, Mrs. (Ada E Hall)"
"Goldsmith, Mrs. Frank John (Emily Alice Brown)"
"Hippach, Miss. Jean Gertrude"
"McCoy, Miss. Agnes"
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)"
"Burns, Miss. Elizabeth Margaret"
"Dahl, Mr. Karl Edwart"
"Navratil, Master. Edmond Roger"
"Fortune, Miss. Alice Elizabeth"
"Brown, Miss. Amelia ""Mildred"""
"Smith, Miss. Marion Elsie"
"Davison, Mrs. Thomas Henry (Mary E Finck)"
"Coutts, Master. William Loch ""William"""
"Bowerman, Miss. Elsie Edith"
"McGovern, Miss. Mary"
"Mockler, Miss. Helen Mary ""Ellie"""
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)"
"Moussa, Mrs. (Mantoura Boulos)"
"Jermyn, Miss. Annie"
"Aubart, Mme. Leontine Pauline"
"Harder, Mr. George Achilles"
"Meyer, Mrs. Edgar Joseph (Leila Saks)"
"Landergren, Miss. Aurora Adelia"
"Bidois, Miss. Rosalie"
"Nakid, Miss. Maria (""Mary"")"
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)"
"Buss, Miss. Kate"
"Lehmann, Miss. Bertha"
"Carter, Mr. William Ernest"
"Jansson, Mr. Carl Olof"
"Newell, Miss. Marjorie"
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)"
"Trout, Mrs. William H (Jessie L)"
"Niskanen, Mr. Juha"
"Richards, Master. William Rowe"
"Minahan, Miss. Daisy E"
"Sundman, Mr. Johan Julian"
"Drew, Mrs. James Vivian (Lulu Thorne Christian)"
"Silven, Miss. Lyyli Karoliina"
"Clarke, Mrs. Charles V (Ada Maria Winfield)"
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")"
"Pickard, Mr. Berk (Berk Trembisky)"
"Bjornstrom-Steffansson, Mr. Mauritz Hakan"
"Thorneycroft, Mrs. Percival (Florence Kate White)"
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)"
"Carter, Miss. Lucile Polk"
"Richards, Mrs. Sidney (Emily Hocking)"
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)"
"Reynaldo, Ms. Encarnacion"
"Johannesen-Bratthammer, Mr. Bernt"
"Dodge, Master. Washington"
"Mellinger, Miss. Madeleine Violet"
"Seward, Mr. Frederic Kimber"
"Baclini, Miss. Marie Catherine"
"Peuchen, Major. Arthur Godfrey"
"Goldenberg, Mr. Samuel L"
"Jalsevac, Mr. Ivan"
"Kenyon, Mrs. Frederick R (Marion)"
"Toomey, Miss. Ellen"
"Anderson, Mr. Harry"
